pair,slot,algorithm,our_cost,nx_cost,verdict
31,22:00,astar,380.360786,380.360786,PASS
32,22:00,ucs,432.581000,432.581000,PASS
32,22:00,astar,432.581000,432.581000,PASS
33,22:00,ucs,551.276429,551.276429,PASS
33,22:00,astar,551.276429,551.276429,PASS
34,22:00,ucs,310.913500,310.913500,PASS
34,22:00,astar,310.913500,310.913500,PASS
35,22:00,ucs,442.932875,442.932875,PASS
35,22:00,astar,442.932875,442.932875,PASS
36,22:00,ucs,193.971214,193.971214,PASS
36,22:00,astar,193.971214,193.971214,PASS
37,22:00,ucs,393.773000,393.773000,PASS
37,22:00,astar,393.773000,393.773000,PASS
38,22:00,ucs,601.899179,601.899179,PASS
38,22:00,astar,601.899179,601.899179,PASS
39,22:00,ucs,562.211339,562.211339,PASS
39,22:00,astar,562.211339,562.211339,PASS
40,22:00,ucs,337.164875,337.164875,PASS
40,22:00,astar,337.164875,337.164875,PASS
41,22:00,ucs,390.964768,390.964768,PASS
41,22:00,astar,390.964768,390.964768,PASS
42,22:00,ucs,554.988857,554.988857,PASS
42,22:00,astar,554.988857,554.988857,PASS
43,22:00,ucs,418.822839,418.822839,PASS
43,22:00,astar,418.822839,418.822839,PASS
44,22:00,ucs,573.428000,573.428000,PASS
44,22:00,astar,573.428000,573.428000,PASS
45,22:00,ucs,600.809732,600.809732,PASS
45,22:00,astar,600.809732,600.809732,PASS
46,22:00,ucs,592.647304,592.647304,PASS
46,22:00,astar,592.647304,592.647304,PASS
47,22:00,ucs,436.180000,436.180000,PASS
47,22:00,astar,436.180000,436.180000,PASS
48,22:00,ucs,645.229411,645.229411,PASS
48,22:00,astar,645.229411,645.229411,PASS
49,22:00,ucs,751.618696,751.618696,PASS
49,22:00,astar,751.618696,751.618696,PASS
50,22:00,ucs,240.083357,240.083357,PASS
50,22:00,astar,240.083357,240.083357,PASS
51,22:00,ucs,182.375000,182.375000,PASS
51,22:00,astar,182.375000,182.375000,PASS
52,22:00,ucs,387.611500,387.611500,PASS
52,22:00,astar,387.611500,387.611500,PASS
53,22:00,ucs,178.082000,178.082000,PASS
53,22:00,astar,178.082000,178.082000,PASS
54,22:00,ucs,303.812089,303.812089,PASS
54,22:00,astar,303.812089,303.812089,PASS
55,22:00,ucs,480.338750,480.338750,PASS
55,22:00,astar,480.338750,480.338750,PASS
56,22:00,ucs,501.167304,501.167304,PASS
56,22:00,astar,501.167304,501.167304,PASS
57,22:00,ucs,551.712679,551.712679,PASS
57,22:00,astar,551.712679,551.712679,PASS
58,22:00,ucs,440.944929,440.944929,PASS
58,22:00,astar,440.944929,440.944929,PASS
59,22:00,ucs,486.144911,486.144911,PASS
59,22:00,astar,486.144911,486.144911,PASS
60,22:00,ucs,338.300143,338.300143,PASS
60,22:00,astar,338.300143,338.300143,PASS
61,22:00,ucs,333.167893,333.167893,PASS
61,22:00,astar,333.167893,333.167893,PASS
62,22:00,ucs,503.699500,503.699500,PASS
62,22:00,astar,503.699500,503.699500,PASS
63,22:00,ucs,442.595107,442.595107,PASS
63,22:00,astar,442.595107,442.595107,PASS
64,22:00,ucs,605.525071,605.525071,PASS
64,22:00,astar,605.525071,605.525071,PASS
65,22:00,ucs,442.945357,442.945357,PASS
65,22:00,astar,442.945357,442.945357,PASS
66,22:00,ucs,679.017375,679.017375,PASS
66,22:00,astar,679.017375,679.017375,PASS
67,22:00,ucs,579.777196,579.777196,PASS
67,22:00,astar,579.777196,579.777196,PASS
68,22:00,ucs,639.174054,639.174054,PASS
68,22:00,astar,639.174054,639.174054,PASS
69,22:00,ucs,570.369429,570.369429,PASS
69,22:00,astar,570.369429,570.369429,PASS
70,22:00,ucs,520.578179,520.578179,PASS
70,22:00,astar,520.578179,520.578179,PASS
71,22:00,ucs,284.651946,284.651946,PASS
71,22:00,astar,284.651946,284.651946,PASS
72,22:00,ucs,644.685875,644.685875,PASS
72,22:00,astar,644.685875,644.685875,PASS
73,22:00,ucs,516.553232,516.553232,PASS
73,22:00,astar,516.553232,516.553232,PASS
74,22:00,ucs,823.307321,823.307321,PASS
74,22:00,astar,823.307321,823.307321,PASS
75,22:00,ucs,577.891214,577.891214,PASS
75,22:00,astar,577.891214,577.891214,PASS
76,22:00,ucs,403.583250,403.583250,PASS
76,22:00,astar,403.583250,403.583250,PASS
77,22:00,ucs,259.938679,259.938679,PASS
77,22:00,astar,259.938679,259.938679,PASS
78,22:00,ucs,412.997036,412.997036,PASS
78,22:00,astar,412.997036,412.997036,PASS
79,22:00,ucs,333.039000,333.039000,PASS
79,22:00,astar,333.039000,333.039000,PASS
80,22:00,ucs,381.168250,381.168250,PASS
80,22:00,astar,381.168250,381.168250,PASS
81,22:00,ucs,581.503304,581.503304,PASS
81,22:00,astar,581.503304,581.503304,PASS
82,22:00,ucs,463.860893,463.860893,PASS
82,22:00,astar,463.860893,463.860893,PASS
83,22:00,ucs,350.386500,350.386500,PASS
83,22:00,astar,350.386500,350.386500,PASS
84,22:00,ucs,518.567857,518.567857,PASS
84,22:00,astar,518.567857,518.567857,PASS
85,22:00,ucs,368.874750,368.874750,PASS
85,22:00,astar,368.874750,368.874750,PASS
86,22:00,ucs,390.346500,390.346500,PASS
86,22:00,astar,390.346500,390.346500,PASS
87,22:00,ucs,523.378661,523.378661,PASS
87,22:00,astar,523.378661,523.378661,PASS
88,22:00,ucs,404.479625,404.479625,PASS
88,22:00,astar,404.479625,404.479625,PASS
89,22:00,ucs,160.143375,160.143375,PASS
89,22:00,astar,160.143375,160.143375,PASS
90,22:00,ucs,298.851929,298.851929,PASS
90,22:00,astar,298.851929,298.851929,PASS
91,22:00,ucs,310.040875,310.040875,PASS
91,22:00,astar,310.040875,310.040875,PASS
92,22:00,ucs,456.953732,456.953732,PASS
92,22:00,astar,456.953732,456.953732,PASS
93,22:00,ucs,621.621196,621.621196,PASS
93,22:00,astar,621.621196,621.621196,PASS
